,id,date,likes,content,username,media,inferred company,captions
299900,299901,2020-01-09 12:31:00,216,We asked Americans to point out Iran on a map and this is how it went <hyperlink>,Independent,"[Video(thumbnailUrl='https://pbs.twimg.com/media/EN1m8OAWsAER8_E.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1215240199376199680/vid/720x720/dc_v-ovaluSQNEPR.mp4?tag=13', bitrate=1280000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1215240199376199680/pl/o0qanc7lEJYJawvg.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1215240199376199680/vid/320x320/ekyakLFRMkPa9HJX.mp4?tag=13', bitrate=432000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1215240199376199680/vid/480x480/L-Ldiv139la5PPQU.mp4?tag=13', bitrate=832000)], duration=107.96, views=47689)]",independent,There is nothing here
299901,299902,2018-04-11 14:00:01,66,"#ExcelTips: Use Control + Shift + the number sign (#) to apply the Date format with the day, month, and year. Discover more short cuts here: <hyperlink> <hyperlink>",msexcel,"[Photo(previewUrl='https://pbs.twimg.com/media/DagdInFWsAA8pzi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DagdInFWsAA8pzi?format=jpg&name=large')]",microsoft,"Image describes The image is a white background with a green text that reads ""Ctrl + Shift + /"". The green text is displayed in a bold font, making it stand out against the white background."
299902,299903,2018-07-25 04:37:06,1161,"Two moms were scolded for breastfeeding at a pool last week. But days later, more than a dozen others joined them to nurse in protest <hyperlink> <hyperlink>",CNN,"[Photo(previewUrl='https://pbs.twimg.com/media/Di7LOl5W4AUuFh3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Di7LOl5W4AUuFh3?format=jpg&name=large')]",cnn,"Image describes The image features a large group of women sitting on the grass, with a total of 12 people visible. They are all holding babies, with a total of 11 babies in the scene. The women are arranged in a semi-circle formation, creating a sense of community and togetherness.

The background of the image includes a few cars parked nearby, with a total of 8 cars visible. The cars are positioned at various distances from the group of women and babies, adding to the outdoor setting of the scene."
299903,299904,2019-10-23 12:15:06,0,Mbappe Smashes Messi’s Record <hyperlink> <hyperlink>,IndependentNGR,"[Photo(previewUrl='https://pbs.twimg.com/media/EHj_b2QUUAAlTqx?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EHj_b2QUUAAlTqx?format=jpg&name=large')]",independent,"Image describes The image features a young man wearing a blue jacket and a blue shirt. He is smiling and appears to be enjoying himself. The man is standing in front of a crowd of people, who are also present in the scene. The crowd is composed of various individuals, some of whom are closer to the man in blue, while others are further away. The overall atmosphere of the image seems to be lively and social."
299904,299905,2018-03-24 13:00:09,0,The #OpelMokka X might be made for everyday life but it lives for those off-road adventures!  <hyperlink> <hyperlink>,OpelIreland,"[Photo(previewUrl='https://pbs.twimg.com/media/DZDi0GMXcAAIvtu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DZDi0GMXcAAIvtu?format=jpg&name=large')]",opel,"Image describes The image features a white car parked on a road, surrounded by trees. The car is a small SUV with a license plate that reads ""GD0255."" The scene appears to be in black and white, giving it a classic and timeless feel. The car is parked in front of a forest, adding to the serene and peaceful atmosphere of the image."
299905,299906,2018-11-23 09:35:10,617,Your questions answered! ⚡ Thanks to <mention> and everyone who joined the conversation about the future of energy. Catch-up on the debate here: <hyperlink> #MakeTheFuture <hyperlink>,Shell,"[Photo(previewUrl='https://pbs.twimg.com/media/DsrXy_gX4AAI_1N?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DsrXy_gX4AAI_1N?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/DsrXzhgXoAAnym8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DsrXzhgXoAAnym8?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/DsrX0DJWkAAXHVr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DsrX0DJWkAAXHVr?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/DsrX0ixWoAIyKUl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DsrX0ixWoAIyKUl?format=jpg&name=large')]",shell,"Image describes The image features a man and a woman sitting on chairs, engaged in a conversation. The man is wearing a white shirt, while the woman is dressed in a red shirt. Both of them are sitting on stools, with the man on the left side and the woman on the right side of the image.

The setting appears to be a casual gathering or a meeting, as there are several cups placed around the room. One cup is located near the man, another one is closer to the woman, and the third cup is situated further away from them. The overall atmosphere seems to be relaxed and friendly, with the two individuals enjoying their time together."
299906,299907,2020-01-10 16:01:32,1,Sen. Enoh Defends Nomination On APC’s National Reconciliation Committee <hyperlink> <hyperlink>,IndependentNGR,"[Photo(previewUrl='https://pbs.twimg.com/media/EN7o3EUUUAAz-rw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EN7o3EUUUAAz-rw?format=jpg&name=large')]",independent,"Image describes The image features a man wearing a suit and tie, sitting in a red chair. The man is wearing glasses and appears to be smiling for the camera. The suit is blue, and the tie is purple. The chair is positioned in the foreground, with the man occupying most of the frame. The scene suggests a professional or formal setting."
299907,299908,2020-04-28 14:47:34,1,COVID-19: Osun Awaits Result Of 30 Samples From NCDC <hyperlink> <hyperlink>,IndependentNGR,"[Photo(previewUrl='https://pbs.twimg.com/media/EWstOOCU0AIh-D-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EWstOOCU0AIh-D-?format=jpg&name=large')]",independent,"Image describes The image features a man sitting at a desk, wearing a suit and tie. He appears to be a businessman or a politician, as he is holding papers and talking into a microphone. The man is wearing glasses, and there is a framed picture on the wall behind him.

The room has a chair positioned near the desk, and there are several books scattered around the area. The man's suit is gray, and he is wearing a pink shirt. The scene conveys a sense of professionalism and importance, as the man is engaged in a conversation or presentation."
299908,299909,2018-07-01 19:41:26,355,Wimby ready 💪💪 5th on tomorrow #teaminbest <mention> <mention> 🐿🐿🐿🐿 <hyperlink>,cam_norrie,"[Photo(previewUrl='https://pbs.twimg.com/media/DhC0DVoW4AUBcvD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DhC0DVoW4AUBcvD?format=jpg&name=large')]",cameron,"Image describes The image features two men standing on a tennis court, posing for a picture. They are both wearing white shirts and white shorts, and they are standing next to each other. The tennis court is surrounded by a green field, and there are several tennis balls scattered around the area.

In addition to the two main tennis players, there are a few other people in the scene, some of whom are also wearing white shirts and shorts. There are also a few chairs placed around the court, possibly for resting or watching the game."
299909,299910,2020-07-24 00:40:12,63,Privy Council Office launches workplace investigation of Governor General's office over harassment claims <hyperlink> #ottnews #ottawa <hyperlink>,CBCOttawa,"[Photo(previewUrl='https://pbs.twimg.com/media/Edptl4BXgAEdQJS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Edptl4BXgAEdQJS?format=jpg&name=large')]",cbc,"Image describes The image features a woman with long, curly hair standing in front of a white background. She is wearing a black jacket, which adds a contrasting color to the scene. The woman appears to be looking off into the distance, possibly deep in thought or observing something. The overall atmosphere of the image is calm and focused."
299910,299911,2019-10-10 08:30:05,0,"Oil Prices Drop For Trade In U.S, China <hyperlink> <hyperlink>",IndependentNGR,"[Photo(previewUrl='https://pbs.twimg.com/media/EGgPQ3wU0AUMZgL?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EGgPQ3wU0AUMZgL?format=jpg&name=large')]",independent,"Image describes The image features a large stack of red barrels, likely oil barrels, piled up next to each other. The barrels are arranged in a tall and orderly manner, creating a visually striking scene. The red color of the barrels stands out against the background, drawing attention to the impressive display. The barrels are of various sizes, with some being taller and others shorter, adding to the overall visual interest of the scene."
299911,299912,2019-11-13 09:01:17,131,This is what my grandparents see at Christmas when I remind them I don’t eat meat <hyperlink>,austinwilliamsw,"[Photo(previewUrl='https://pbs.twimg.com/media/EJPcdF0WoAAR4tK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EJPcdF0WoAAR4tK?format=jpg&name=large')]",williams,"Image describes The image features a man with a shaved head and tattoos on his arms. He is wearing a grey shirt and has the word ""animal"" tattooed on his right arm. The man is standing in a room with a dining table and a chair nearby. There are also a few knives placed on the table, and a cup can be seen on the table as well."
299912,299913,2020-07-12 13:00:07,187,Down to the finest detail. <hyperlink>,ASTROGaming,"[Photo(previewUrl='https://pbs.twimg.com/media/Ecuj3UcXkAMyNSs?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Ecuj3UcXkAMyNSs?format=jpg&name=large')]",astro,"Image describes The image features a black and gray PlayStation 4 controller, also known as a DualShock controller, sitting on a white background. The controller has a sleek design and is equipped with two thumbsticks, which are the primary input devices for the game controller. The controller's buttons are also visible, including the D-pad, A, B, X, and O buttons, as well as the Plus and Minus buttons. The combination of black and gray colors on the controller creates a visually appealing contrast against the white background."
299913,299914,2020-10-05 14:00:00,2598,"The survivors are on the brink, but they have a secret weapon. Stream Maggie’s return to #TWD now: <hyperlink> <hyperlink>",WalkingDead_AMC,"[Photo(previewUrl='https://pbs.twimg.com/media/EjgwTwyXgAIneGA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EjgwTwyXgAIneGA?format=jpg&name=large')]",amc,"Image describes The image features a group of people standing together, with a man wearing a hat and a woman wearing a hat and a jacket. The man is smiling and touching the woman's face, possibly giving her a kiss. The woman is also smiling, indicating a friendly or affectionate interaction between them.

The scene appears to be set in a dark environment, with the people standing close to each other. The man's hat is brown, and the woman's hat is black. The woman is wearing a black jacket, and the man's jacket is black as well."
299914,299915,2018-06-27 14:00:19,98,Are you ready? 🎶 <hyperlink>,TRVLRSseries,"[Photo(previewUrl='https://pbs.twimg.com/media/Dgs_n0JXcAA5hLy?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Dgs_n0JXcAA5hLy?format=jpg&name=large')]",travelers,"Image describes The image features a man sitting in a chair, playing a musical instrument, possibly a violin or a cello. He is wearing a black jacket and has a beard. The man appears to be focused on his performance, possibly practicing or performing for an audience.

The room has a few books scattered around, with some placed on the floor and others on a surface nearby. There is also a clock on the wall, indicating the time. The overall atmosphere of the image suggests a creative and artistic environment."
299915,299916,2019-03-09 15:00:00,7,"Parking lots for today’s match are now open! Please see the map below for free parking options, or visit our website: <hyperlink> <hyperlink>",ToyotaStadiumTX,"[Photo(previewUrl='https://pbs.twimg.com/media/D1EhNZ4WwAE6Wh3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D1EhNZ4WwAE6Wh3?format=jpg&name=large')]",toyota,"Image describes The image is a blue and white map of a parking lot, which is located near a stadium. The parking lot is filled with various vehicles, including cars and trucks. The vehicles are parked in different sections of the lot, with some closer to the stadium and others further away. The map also shows the layout of the parking spaces and their designated areas, making it easier for visitors to find their spots."
299916,299917,2020-02-25 12:00:05,8916,"SPECIAL FILM | HAPPY ROCKY DAY 'Yummy'

▶ <hyperlink>

#아스트로 #ASTRO #라키 #ROCKY #HappyROCKYday #Yummy <hyperlink>",ASTRO_Staff,"[Photo(previewUrl='https://pbs.twimg.com/media/ERnquMTU0AA1tf0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ERnquMTU0AA1tf0?format=jpg&name=large')]",astro,"Image describes The image features a young man wearing a pink hoodie, standing in front of a cake. The cake is placed on a table, and the man appears to be holding it. The cake is white, and there are candles on it, suggesting it might be a birthday celebration. The man is smiling, and the overall scene seems to be a happy and joyful moment."
